Reviews,Ratings
"Thanks again Flipkart team the wonderful delivery on time. Kind delivery boy.
This product purchased for my Mom 😍 and she is very happy gifted to mom on her birthday 🎉
She is so happy!
Amazing product from realme

a. Awesome built quality
b. Best Battery 🔋 little bit heavy but, it's fine to handle afterall it has 6000 mh battery 🔋
c. Camera is good 🤳 front and back both. It will be better maybe after some updates.
d. Display is also good

Thanks again!",4
"Camera 4/5 if u able to set it properly
Battery 5/5 very Good with great charging speed.
Display 4/5 its not full hd but HD + with very good brightness and contrast
Performance is too good 5/5

Value for Money
Selfie and back camera capture are given below in low light photography in night time....
Total 4.5 out of 5 in my vision
Hope for best",5
"Very nice mobile and battry is very extra powar and camera is nice this price range
And delivery boy is very honest ..... Delivery boy rating is 5/5",5
"Excellent!!
Very good mobile. I ordered it to my friend and he is very happy with it. Camera quality is good and battery backup is superb. Oxygen blue colour looks very attractive and rich. Highly recommended guys. Go for it.....",5
"Positive sides :
1. Battery is very very powerful. Certainly exceeds your expectations.
2. performance wise this phone is a very good purchase . smoothly functioning ..no lag..no heating issue.
3. Day light pic quality is above average. Selfie camera good.
4. There is dedicated slot for memory card apart from slots for 2 sim cards.

Negative sides :
1. Both rear and front camera in low light disappointing.
2. Display could have been Full HD+ instead of HD+. Realme has disappointed its custome...",4
"overall good product, mobile colour is good i liked it, camera back is good front is perfect, online buying is good beneficial for me.I recommend to all that buy online fon its better , always available in color and design. Backup also nice, i ordered and received before time same product nothing damage so i am happy for this. Thanks flipkart",5
"Best phone of this best valuable price..
I think front camera is not enough in this price...
Back camera very very good... My rating is __-

Camera-:front-5,back-9,,
Battery--:10
Performance-:8
Storage-:8
Colour-:9
Processor g85-::::8
VALUE of MONEY-;10",5
Best phone superb design and colour and performance is so good . Value for money i like it.,5
"I have used this phone continuously last 7 days from delivery
Over all ok
But delivery is soo late am disappointed it's take two weeks more time
Battery performance is. Awesome
But charging time is more than 2 and half hours to full slightly disappointed
Back camera 50 mp is awesome night scape photos is good
Selfie camera performance is average
It has G85 processor is best performance
Over all phone is worth for money go for it",5
What a mobile amazing battery back up also. Loved to purchase from flipkart. Delivery boy is also good behaviour. Best exchange prize.i got from flipkart,5
"I bought it as a secondary device but was surprised by the camera quality at daylight (low light pics though are bit disappointing)
Battery backup is quite good with 2 days of back up with normal usage.
Display is also good for the price which one is paying.
No lags whatsoever though I haven't tried any high graphics games on this one.
Finger print sensor too is very responsive but is slightly misplaced on the back panel(should have been at the centre).
Over all a good budget phone(a complete...",4
"It is a decent budgeted smart phone and main pros are Durable battery , big display good performance and good design with gaming processor from Helio G85. And Android 11

The corns are bit heavy and need lots of time to charge and heat bit while charging the phone.",4
"Display could have FHD....camera is ok.
Rest are ok in this price. I assure you you will not be excited very okies phone. According to you must go another Better options in this price range.",3
"First of all thanks to flipkart for excellent service. otherwise realme narzo 50 A is realy worst one in realme series, camera quality is so poor, it's not like 50mp camera it's like 2mp camera clarity is very dull n blur, don't buy if you want good camera phone",2
Amazing product worth of its price and 1st time I liked their exchange service delivery executive checked the exchange phone properly and give me real reason of decreasing the price and my phone was also in good condition and they gave me a worthy price of it. They click photos and then the app give its actual price after verifying I also liked the quality of phone will recommend Real me to everyone I'm also planning to change my current phone with any real me model. this phone I purchased fo...,5
"Thanks again Flipkart team the wonderful delivery on time. Kind delivery boy.

This product purchased for my Mom and she is very happy gifted to mom on her birthday

She is so happy!

Amazing product from realme

a. Awesome built quality

b. Best Battery little bit heavy but, it's fine to handle afterall it has 6000 mh battery

c. Camera is good front and back both. It will be better maybe after some updates.

d. Display is also good",5
"This mobile has good features but battery doesn't seems to be an that much good performance though having 6000 Mah others features are great and display is awesome gaming performance is also good as well so overall nice phone and only big draw back Narzo should start giving silicon case which is not provided in the box.

Basic need to protect the mobile.",4
"I GOT THIS PHONE WITH SUPERB EXCHANGE DEAL

Camera is not good upto 50mp
Battery 🔋 is very good 👍
Display is HD only not sAmoled
Speakers sound good
Runs very smooth no lagging 👌.
Overall its good budget smartphone.",5
"Nice phone in this price range.
Pros:
1. Nice battery
2. Average display
3. Average camera
4. Average but good speaker
5. Awesome performance with G85 processor

Cons:
1. Front camera could be 12 mp

Overall good phone to consider in this price.",4
